Date,ARIMA_Return,Signal,Ensemble_Return,Ensemble_Signal
2025-11-13,0.0,HOLD,0.000459487888342019,HOLD
2025-11-14,0.0,HOLD,0.0013377026400120122,HOLD
2025-11-15,0.0,HOLD,0.0007557567043097497,HOLD
2025-11-16,0.0,HOLD,0.000937495997877235,HOLD
2025-11-17,0.0,HOLD,0.001317467010148523,HOLD
2025-11-18,0.0,HOLD,0.0006567091516119376,HOLD
2025-11-19,0.0,HOLD,0.0019246508742565116,HOLD
2025-11-20,0.0,HOLD,0.00042802278649935063,HOLD
2025-11-21,0.0,HOLD,0.0012996733998352317,HOLD
2025-11-22,0.0,HOLD,0.0007220247697927584,HOLD
2025-11-23,0.0,HOLD,0.0009023662245724377,HOLD
2025-11-24,0.0,HOLD,0.0012795739403295863,HOLD
2025-11-25,0.0,HOLD,0.000623554293757312,HOLD
2025-11-26,0.0,HOLD,0.0018823764462225054,HOLD
2025-11-27,0.0,HOLD,0.0003964425910781006,HOLD
2025-11-28,0.0,HOLD,0.001262027392762471,HOLD
2025-11-29,0.0,HOLD,0.0006883740778643738,HOLD
2025-11-30,0.0,HOLD,0.0008674958506111143,HOLD
2025-12-01,0.0,HOLD,0.001242114441745722,HOLD
2025-12-02,0.0,HOLD,0.0005907110956213006,HOLD
2025-12-03,0.0,HOLD,0.001840882741690031,HOLD
2025-12-04,0.0,HOLD,0.0003652417202785287,HOLD
2025-12-05,0.0,HOLD,0.0012249069732321368,HOLD
2025-12-06,0.0,HOLD,0.000655308590383997,HOLD
2025-12-07,0.0,HOLD,0.0008332761341343977,HOLD
2025-12-08,0.0,HOLD,0.0012054897731622561,HOLD
2025-12-09,0.0,HOLD,0.000558476942286737,HOLD
2025-12-10,0.0,HOLD,0.0018004833259180752,HOLD
2025-12-11,0.0,HOLD,0.00033479274300099096,HOLD
2025-12-12,0.0,HOLD,0.0011888310594237485,HOLD
2025-12-13,0.0,HOLD,0.0006231026198452512,HOLD
2025-12-14,0.0,HOLD,0.0008000859999860183,HOLD
2025-12-15,0.0,HOLD,0.001169904374829869,HOLD
2025-12-16,0.0,HOLD,0.0005273542946417624,HOLD
2025-12-17,0.0,HOLD,0.0017614338421585451,HOLD
2025-12-18,0.0,HOLD,0.0003053668803254907,HOLD
2025-12-19,0.0,HOLD,0.0011540744687017818,HOLD
2025-12-20,0.0,HOLD,0.0005921446506267972,HOLD
2025-12-21,0.0,HOLD,0.0007680961056150615,HOLD
2025-12-22,0.0,HOLD,0.0011358296525916293,HOLD
2025-12-23,0.0,HOLD,0.0004974229113515046,HOLD
2025-12-24,0.0,HOLD,0.0017240724815407384,HOLD
2025-12-25,0.0,HOLD,0.00027716864553450205,HOLD
2025-12-26,0.0,HOLD,0.0011208589848155865,HOLD
2025-12-27,0.0,HOLD,0.0005625416312480386,HOLD
2025-12-28,0.0,HOLD,0.0007376546106057017,HOLD
2025-12-29,0.0,HOLD,0.0011033474401969136,HOLD
2025-12-30,0.0,HOLD,0.0004689728640172438,HOLD
2025-12-31,0.0,HOLD,0.001688547358712855,HOLD
2026-01-01,0.0,HOLD,0.0002504441379014474,HOLD
2026-01-02,0.0,HOLD,0.0010893411732701298,HOLD
2026-01-03,0.0,HOLD,0.0005345945765073941,HOLD
2026-01-04,0.0,HOLD,0.0007088467217438194,HOLD
2026-01-05,0.0,HOLD,0.0010726284372906789,HOLD
2026-01-06,0.0,HOLD,0.00044218373412680553,HOLD
2026-01-07,0.0,HOLD,0.001654883270317858,HOLD
2026-01-08,0.0,HOLD,0.00022539060746104393,HOLD
2026-01-09,0.0,HOLD,0.0010596600379541245,HOLD
2026-01-10,0.0,HOLD,0.0005082852245881978,HOLD
2026-01-12,0.0,HOLD,0.0006818022778807443,HOLD
