Date,Open,High,Low,Close,Volume,Returns,Log_Returns,Vol_7d,Vol_30d,Vol_90d,BB_Upper,BB_Lower,BB_Position,Daily_Range,Body_Size,Upper_Shadow,Lower_Shadow,Volume_SMA20,Volume_Ratio
2024-01-12 00:00:00+00:00,46354.79296875,46498.13671875,41903.76953125,42853.16796875,43332698900,-0.0002516769882185965,-0.0002517086641866489,0.31564584099501264,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.09911309906177954,0.07553965352322066,0.0030923177695267655,0.02048112776903211,22254566825.4,1.10869957553337
2024-01-13 00:00:00+00:00,42799.4453125,43234.66015625,42464.14453125,42842.3828125,20601860469,-0.0002516769882185965,-0.0002517086641866489,0.31564584099501264,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.018002934836516757,0.0010032256186147273,0.009165477283310294,0.007834231934591734,22254566825.4,1.10869957553337
2024-01-14 00:00:00+00:00,42842.26171875,43065.59765625,41724.61328125,41796.26953125,17521429522,-0.0244177193838242,-0.024720775355358247,0.31564584099501264,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.031300503782999756,0.02441496189829351,0.0052129819608066254,0.0016725599238996175,22254566825.4,1.10869957553337
2024-01-15 00:00:00+00:00,41715.06640625,43319.72265625,41705.41796875,42511.96875,22320220558,0.01712351907901466,0.01697856404641987,0.31564584099501264,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.03869836072604538,0.0191034657835425,0.01936360111197084,0.00023129383053204042,22254566825.4,1.10869957553337
2024-01-16 00:00:00+00:00,42499.3359375,43566.2734375,42085.99609375,43154.9453125,24062872740,0.015124600939588229,0.015011364505806485,0.31564584099501264,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.03483059937517406,0.015426343977801123,0.009678460049467685,0.009725795347905252,22254566825.4,1.10869957553337
2024-01-17 00:00:00+00:00,43132.1015625,43189.890625,42189.30859375,42742.65234375,20851232595,-0.009553782672285682,-0.009599712825861542,0.31564584099501264,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.02319808205496595,0.009029219644808491,0.00133981559920658,0.012829046810950878,22254566825.4,1.10869957553337
2024-01-18 00:00:00+00:00,42742.3125,42876.34765625,40631.171875,41262.05859375,25218357242,-0.034639725632667706,-0.03525390600438047,0.31564584099501264,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.05252817758164114,0.03463205006163389,0.003135889202298074,0.014760238317709179,22254566825.4,1.10869957553337
2024-01-19 00:00:00+00:00,41278.4609375,42134.16015625,40297.45703125,41618.40625,25752407154,0.00863620644230223,0.008599127738074015,0.31564584099501264,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.04449543619809287,0.008235416359508014,0.012494504265333597,0.02376551557325126,22254566825.4,1.10869957553337
2024-01-20 00:00:00+00:00,41624.58984375,41877.89453125,41446.82421875,41665.5859375,11586690904,0.0011336255217606617,0.0011329834535463317,0.3164446274570744,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.010356145588897038,0.000984900845963666,0.005100557015623747,0.004270687727309625,22254566825.4,1.10869957553337
2024-01-21 00:00:00+00:00,41671.48828125,41855.3671875,41497.0078125,41545.78515625,9344043642,-0.0028752933279206916,-0.002879434924556738,0.2820161801851182,0.3150049700826983,0.4856740596411755,44132.44778346631,39482.85260715868,0.6666715582866971,0.008599629861581954,0.003016525931389877,0.0044125831313957635,0.0011705207987963142,22254566825.4,1.10869957553337
